#mainName|petType|allowed|dangerLevel|reason
다크초콜릿|강아지,고양이|금지|높음|테오브로민과 카페인이 신경계·심장에 독성을 일으켜 구토와 발작을 유발할 수 있음
밀크초콜릿|강아지,고양이|금지|높음|테오브로민 중독 위험이 있어 소량도 매우 위험함
화이트초콜릿|강아지,고양이|주의|중간|테오브로민은 적지만 지방과 설탕이 많아 췌장염을 유발할 수 있음
코코아파우더|강아지,고양이|금지|높음|테오브로민 농도가 매우 높아 치명적일 수 있음
카카오닙스|강아지,고양이|금지|높음|농축된 카카오 성분으로 중독 위험이 매우 큼
초코시럽|강아지,고양이|금지|높음|액체 형태라 흡수가 빨라 중독 위험이 더 큼
초콜릿쿠키|강아지,고양이|금지|높음|테오브로민+설탕이 함께 있어 독성과 소화 장애를 동시에 유발함
포도|강아지,고양이|금지|높음|강아지에게 급성 신부전을 일으키며 소량도 위험함
건포도|강아지,고양이|금지|높음|포도보다 농축된 형태로 신장 손상 가능성이 더 큼
포도주스|강아지,고양이|금지|높음|포도 성분이 그대로 포함되어 급성 신장 손상을 유발할 수 있음
포도젤리|강아지,고양이|금지|높음|포도 추출물이 들어 있어 신장 독성을 나타낼 수 있음
양파|강아지,고양이|금지|높음|적혈구 파괴로 빈혈을 유발하며 소량 반복 섭취도 위험함
대파|강아지,고양이|금지|높음|파류 특유의 유기 황 화합물이 적혈구를 손상시킴
쪽파|강아지,고양이|금지|높음|소량도 적혈구 용혈을 일으킬 수 있음
파|강아지,고양이|금지|높음|모든 파류는 반려동물에게 독성을 가짐
마늘|강아지,고양이|금지|높음|적혈구 산화 손상을 일으켜 빈혈 유발
마늘가루|강아지,고양이|금지|높음|농축된 마늘 성분이라 더욱 위험함
양파가루|강아지,고양이|금지|높음|스프·양념에 숨겨 있을 수 있어 주의 필요
부추|강아지,고양이|금지|높음|혈액 산화 스트레스 증가로 빈혈 유발
차이브|강아지,고양이|금지|높음|파류 허브로 동일한 독성을 나타냄
알코올|강아지,고양이|금지|높음|중추신경 억제, 호흡 저하, 혼수상태 유발 가능
맥주|강아지,고양이|금지|높음|알코올과 홉 성분이 모두 위험함
와인|강아지,고양이|금지|높음|알코올+포도 성분 조합으로 특히 위험함
소주|강아지,고양이|금지|높음|고농도 알코올로 생명 위협 가능
위스키|강아지,고양이|금지|높음|도수가 높아 호흡 억제 가능
막걸리|강아지,고양이|금지|높음|발효 성분과 알코올이 함께 위험 작용
커피|강아지,고양이|금지|높음|카페인이 중추신경 흥분, 심장 과부하를 일으킴
에스프레소|강아지,고양이|금지|높음|카페인 농축으로 소량도 위험함
캔커피|강아지,고양이|금지|높음|카페인+설탕 조합이 위험함
콜라|강아지,고양이|금지|중간|카페인과 설탕이 많아 매우 부적합
제로콜라|강아지,고양이|금지|중간|인공감미료가 간과 신경계에 위험함
사이다|강아지,고양이|금지|중간|설탕이 많아 혈당 상승 유발
탄산음료|강아지,고양이|금지|중간|가스를 일으키고 설탕이 많음
에너지드링크|강아지,고양이|금지|높음|카페인, 타우린 등이 심장에 과부하를 줌
홍차|강아지,고양이|금지|중간|카페인이 포함되어 중독 위험
녹차|강아지,고양이|금지|중간|카페인+카테킨이 간에 부담
아이스티|강아지,고양이|금지|중간|차 성분+당분 문제
자일리톨 껌|강아지|금지|높음|저혈당·간부전 유발
무설탕 캔디|강아지|금지|높음|자일리톨 포함 가능
무설탕 젤리|강아지|금지|높음|혈당 급강하 위험
박하사탕 무설탕|강아지|금지|높음|자일리톨 중독 가능
아보카도|강아지,고양이|금지|높음|페르신 독성으로 호흡곤란 유발
아보카도오일|강아지,고양이|주의|중간|정제 오일은 독성 적지만 지방 과다에 주의
마카다미아넛|강아지|금지|높음|근육 약화, 떨림, 고열 등 신경 증상 유발
호두|강아지,고양이|금지|높음|곰팡이 독소 노출 위험 높음
아몬드|강아지,고양이|주의|중간|지방 많아 설사 유발 가능
캐슈넛|강아지,고양이|주의|중간|칼로리 과다·소화 불량 유발
피스타치오|강아지,고양이|주의|중간|염분·지방 과다
땅콩(무염)|강아지|주의|중간|알레르기 가능성 존재
땅콩버터 무염|강아지|주의|낮음|칼로리 높아 소량만 허용
땅콩버터 가당|강아지,고양이|금지|중간|설탕과 지방 과다
대추씨|강아지,고양이|금지|중간|질식·장폐색 위험
자두씨|강아지,고양이|금지|높음|씨 속 청산 배당체 중독 위험
복숭아씨|강아지,고양이|금지|높음|씨 독성 및 장 폐색 가능
체리씨|강아지,고양이|금지|높음|청산 배당체로 위험
사과씨|강아지,고양이|주의|중간|청산 배당체 소량 포함
사과 과육|강아지,고양이|허용|낮음|씨 제거 시 안전한 간식
배 과육|강아지,고양이|허용|낮음|수분 보충에 좋음
바나나|강아지,고양이|허용|낮음|섬유질·칼륨 공급, 과량 주의
딸기|강아지,고양이|허용|낮음|항산화 풍부, 소량 안전
블루베리|강아지,고양이|허용|낮음|안전한 베리류
라즈베리|강아지,고양이|허용|낮음|소량 간식으로 적당
수박|강아지,고양이|허용|낮음|씨·껍질 제거 필요
참외|강아지,고양이|주의|낮음|당분 많아 비만 주의
오렌지|강아지|주의|낮음|산성으로 위장 자극 가능
레몬|강아지,고양이|금지|중간|산도 높아 구토 유발
라임|강아지,고양이|금지|중간|산성 강해 점막 자극
파인애플|강아지|주의|낮음|섬유질·산도 높아 소량만
키위|강아지|주의|낮음|씨·산이 위장 자극
망고|강아지,고양이|주의|낮음|당분 많아 양 조절 필요
멜론|강아지|주의|낮음|당분 많아 비만 주의
당근|강아지,고양이|허용|낮음|치석 감소에 도움
오이|강아지,고양이|허용|낮음|저칼로리·수분 공급
단호박|강아지,고양이|허용|낮음|소화 도움, 변비 개선
고구마|강아지,고양이|허용|낮음|익혀서 주면 안전
브로콜리|강아지,고양이|주의|낮음|가스 발생 가능
양배추|강아지,고양이|주의|낮음|가스·복통 유발
배추|강아지,고양이|주의|낮음|생으로 과다 섭취 시 설사 가능
상추|강아지,고양이|허용|낮음|수분 보충용 간식
시금치|강아지,고양이|주의|중간|옥살산이 신장에 부담
미역|강아지,고양이|허용|낮음|미네랄 공급
다시마|강아지,고양이|주의|중간|요오드 과다 위험
무|강아지,고양이|허용|낮음|소화에 도움
생강|강아지,고양이|주의|낮음|과량 섭취 시 구토 유발
볶은고구마|강아지|주의|중간|기름이 소화장애 일으킬 수 있음
삶은고구마|강아지,고양이|허용|낮음|간식으로 적합
삶은감자|강아지,고양이|주의|낮음|생감자는 독성 있음, 익히면 소량 안전
감자튀김|강아지,고양이|금지|높음|튀김유+소금 과다 위험
고추|강아지,고양이|금지|높음|캡사이신 자극
청양고추|강아지,고양이|금지|높음|매운 정도 강해 통증 유발
김치|강아지,고양이|금지|높음|염분+양념+파류 포함
고추장|강아지,고양이|금지|높음|매운 양념이 위장 자극
된장|강아지,고양이|금지|높음|나트륨 과다
간장|강아지,고양이|금지|높음|염분 과다로 신장 부담
식초|강아지,고양이|주의|중간|산성이 강해 구토 유발 가능
케첩|강아지,고양이|금지|중간|설탕·나트륨·양파가루 포함
마요네즈|강아지,고양이|금지|높음|극고지방 식품
치킨너겟|강아지,고양이|금지|높음|튀김+조미료 조합 위험
피자|강아지,고양이|금지|높음|치즈·양념이 모두 위험함
햄|강아지,고양이|금지|높음|염분·방부제 과다
소시지|강아지,고양이|금지|높음|지방+양념 위험
베이컨|강아지,고양이|금지|높음|췌장염 유발 가능
라면스프|강아지,고양이|금지|높음|나트륨·조미료 농축
컵라면|강아지,고양이|금지|높음|면+스프 모두 위험
튀김류|강아지,고양이|금지|높음|기름으로 췌장염 유발 가능
삶은달걀흰자|강아지,고양이|허용|낮음|저지방 고단백으로 알레르기만 없다면 안전하게 급여 가능함
삶은달걀노른자|강아지,고양이|주의|낮음|지방과 콜레스테롤이 높아 소량만 급여하는 것이 좋음
날계란|강아지,고양이|주의|중간|살모넬라 위험과 비오틴 결핍 가능성이 있어 비권장
우유(일반)|강아지,고양이|금지|중간|유당불내증으로 설사·복통 유발 가능성이 높음
저지방우유|강아지|주의|낮음|유당 소화 가능한 경우에만 극소량 허용
고양이전용우유|고양이|허용|낮음|유당 제거되어 소화가 잘되며 안전하게 급여 가능함
플레인요거트(무가당)|강아지|주의|낮음|소량 급여 시 장 건강에 도움되지만 유당불내증 시 설사 유발 가능
과일요거트|강아지,고양이|금지|중간|설탕과 향료가 많아 건강에 해로움
치즈(저염)|강아지|주의|낮음|지방과 염분이 있어 소량 간식만 허용
모짜렐라치즈|강아지|주의|낮음|저염이지만 지방이 있어 소량만 가능
파마산치즈|강아지,고양이|금지|중간|나트륨 함량 매우 높아 피해야 함
크림치즈|강아지,고양이|금지|중간|고지방 식품으로 소화 장애 유발
버터|강아지,고양이|주의|중간|지방이 많아 췌장염 유발 가능
마가린|강아지,고양이|금지|높음|트랜스지방과 첨가물로 건강에 매우 해로움
생크림|강아지,고양이|주의|중간|유당·지방·설탕 과다, 소량만 허용
휘핑크림|강아지,고양이|금지|중간|설탕·지방·첨가물이 모두 포함됨
초코아이스크림|강아지,고양이|금지|높음|초콜릿 성분 중독+지방 과다로 매우 위험
바닐라아이스크림|강아지|주의|중간|당분과 지방이 많아 설사와 비만 유발 가능
요구르트아이스크림|강아지|주의|중간|무가당 제품만 소량 허용, 당분 높은 제품 금지
슬러시|강아지,고양이|금지|중간|시럽과 얼음 조합으로 위장 자극·혈당 폭등 가능
사탕|강아지,고양이|금지|중간|설탕과 착향료로 소화장애 및 비만 유발
젤리|강아지,고양이|금지|중간|설탕과 인공첨가물 많아 피해야 함
무가당젤리|강아지|주의|낮음|첨가물이 적어 소량은 허용 가능
카라멜|강아지,고양이|금지|중간|설탕 덩어리로 치아 손상과 비만 유발
초콜릿시리얼|강아지,고양이|금지|높음|초콜릿 성분과 설탕이 모두 포함되어 매우 위험함
달달한시리얼|강아지,고양이|금지|중간|설탕·탄수화물 과다로 혈당과 체중 증가 유발
오트밀(무가당)|강아지,고양이|허용|낮음|소화가 잘 되고 장 건강에 도움 가능
귀리죽|강아지,고양이|허용|낮음|위가 예민한 개체에게 좋은 식사 대용품
백미밥|강아지,고양이|허용|낮음|소화가 잘돼 위장 문제 시 소량 급여 가능
현미밥|강아지,고양이|주의|낮음|섬유질 높아 소량만 허용
잡곡밥|강아지|주의|중간|곡물 종류에 따라 소화가 어려울 수 있음
보리밥|강아지|주의|낮음|소량은 안전하나 과량은 설사 가능
옥수수알갱이|강아지,고양이|허용|낮음|질식 위험 없어 안전하지만 과량은 소화장애
통옥수수|강아지,고양이|금지|중간|속대가 장폐색 일으킬 수 있어 위험함
감자칩|강아지,고양이|금지|높음|염분+기름 조합으로 매우 해로움
옥수수칩|강아지,고양이|금지|높음|향신료가 많아 위장 자극 위험
나초|강아지,고양이|금지|높음|향신료·기름·염분 모두 위험
튀김감자|강아지,고양이|금지|높음|기름 과다로 췌장염 유발 가능
도넛|강아지,고양이|금지|높음|설탕·기름·밀가루 조합으로 건강에 해롭다
크림도넛|강아지,고양이|금지|높음|지방과 설탕이 많아 위험함
와플|강아지,고양이|금지|높음|버터·설탕이 많아 비만 유발 가능
핫케이크|강아지,고양이|주의|중간|설탕과 버터 사용 여부에 따라 소화장애 가능
핫케이크시럽|강아지,고양이|금지|높음|당분이 매우 높아 피해야 함
식빵|강아지,고양이|주의|중간|나트륨·탄수화물이 많아 소량만 허용
식빵토스트|강아지,고양이|주의|중간|버터·잼 추가 시 더 위험해짐
식빵한조각(무첨가)|강아지|주의|낮음|훈련용 소량 급여 가능하나 주식 금지
크루아상|강아지,고양이|금지|높음|버터 함량이 매우 높아 췌장염 유발 가능
바게트빵|강아지|주의|낮음|무염일 경우 소량은 허용 가능
초코케이크|강아지,고양이|금지|높음|초콜릿+버터+설탕 조합
생크림케이크|강아지,고양이|금지|높음|지방·설탕으로 소화장애 유발
생과일케이크|강아지,고양이|금지|중간|과일보다 크림·시럽이 문제
광어회|강아지|주의|중간|기생충 위험 있어 익혀주는 것이 안전
연어회|강아지|주의|중간|생선 기생충 위험 존재
참치회|강아지|주의|중간|중금속·기생충 위험
생선껍질(익힘)|강아지|주의|낮음|기름기 많아 소량만 허용
생선구이(무염)|강아지|허용|낮음|단백질 공급에 좋음
생선튀김|강아지,고양이|금지|높음|튀김유와 양념이 위장과 췌장에 부담
게살살코기(익힘)|강아지|주의|낮음|단백질 공급 가능하나 나트륨 주의
새우살(익힘)|강아지,고양이|주의|낮음|껍질 제거 후 소량 허용 가능
문어(익힘)|강아지|주의|중간|질기고 소화 어려워 소량만
오징어(익힘)|강아지|주의|중간|소화가 어려워 구토 유발 가능
홍합(익힘)|강아지|주의|중간|염분·히스타민 주의
가리비살(익힘)|강아지|주의|낮음|무염 시 소량은 허용 가능
바지락(익힘)|강아지|주의|낮음|나트륨 과다 위험
조개탕국물|강아지,고양이|금지|중간|염분+조미료 포함 가능성
닭가슴살(삶음)|강아지,고양이|허용|낮음|대표적인 안전 단백질 공급원
닭안심찜|강아지,고양이|허용|낮음|기호성과 소화 모두 좋음
닭다리살(무염)|강아지|주의|낮음|지방이 조금 더 많아 소량만 허용
소고기우둔살|강아지,고양이|허용|낮음|저지방 단백질 간식
소고기양지(기름제거)|강아지|주의|낮음|기름이 남아 있으면 소화 장애 가능
돼지고기등심(삶음)|강아지|주의|낮음|익혀서 지방 제거 시 소량 허용
돼지고기삼겹살(삶음)|강아지|금지|중간|지방 과다로 췌장염 유발 위험
오리고기(삶음)|강아지|주의|중간|기름 많아 소량만 허용
칠면조가슴살|강아지,고양이|허용|낮음|저지방 고단백 식품
소간(삶음)|강아지|주의|중간|비타민A 과다 위험 있어 소량만
돼지간(삶음)|강아지|주의|중간|철분·비타민 A 과다 섭취 주의
닭간|강아지|주의|중간|영양 많지만 과량 급여 금지
동물성내장(위,허파)|강아지|주의|중간|소화 어려워 많이 급여하면 설사 가능
선짓국|강아지,고양이|금지|높음|철분 과다·양념 문제
개사료(건식)|강아지|허용|낮음|균형 잡힌 영양 공급
개사료(습식)|강아지|허용|낮음|수분 보충에 도움
고양이사료(건식)|고양이|허용|낮음|단백질 비율이 높아 고양이 영양에 맞음
고양이사료(습식)|고양이|허용|낮음|수분 공급에 도움
강아지껌(원피)|강아지|주의|낮음|소화가 느려 장폐색 위험 존재
개껌(프레스형)|강아지|주의|낮음|과다 씹기 시 치아 손상 가능
고양이츄르|고양이|주의|낮음|나트륨 있어 급여량 조절 필요
고양이파우치(닭)|고양이|허용|낮음|단백질 공급에 좋은 간식
고양이파우치(참치)|고양이|주의|낮음|참치 과다 시 영양 불균형 가능
고양이파우치(연어)|고양이|허용|낮음|오메가3 공급 가능
고양이저키|고양이|주의|중간|건조식품이라 소금·첨가물 주의
고양이소프트스낵|고양이|허용|낮음|기호성 높고 안전한 편
